10149;Home as Found;James Fenimore Cooper;November 20, 2003 
10151;The Great Events by Famous Historians, Volume 5;Various;November 20, 2003 
10159;England and the War;Walter Raleigh;November 20, 2003
10160;Pierre Noziere;Anatole France;November 21, 2003
10161;English Poets of the Eighteenth Century;Selected and Edited with an Introduction by Ernest Bernbaum;November 21, 2003
10162;Dio's Rome, Vol. III;Cassius Dio;November 21, 2003
10163;Mohammedanism;C. Snouck Hurgronje;November 21, 2003
10164;The Black Creek Stopping-House;Nellie McClung;November 21, 2003
10165;Across the Zodiac;Percy Greg;November 21, 2003 
10166;What Germany Thinks;Thomas F. A. Smith;November 21, 2003
10201;The Desert of Wheat;Zane Grey;November 21, 2003
10202;Maria Mitchell: Life, Letters, and Journals;Maria Mitchell;November 21, 2003
10210;Wolves of the Sea;Randall Parrish;November 22, 2003
10211;At Whispering Pine Lodge;Lawrence J. Leslie;November 22, 2003
10212;Peck's Bad Boy at the Circus;George W. Peck;November 22, 2003
10213;The Everlasting Whisper;Jackson Gregory;November 22, 2003
10214;Introduction to the Philosophy and Writings of Plato;Thomas Taylor;November 22, 2003
10215;Manfredo Palavicino;Giuseppe Rovani;November 22, 2003 
10216;Poems;Marietta Holley;November 22, 2003
10217;unknown;unknown;unknown
10218;Stauder;G.N. Brandt;November 23, 2003
10219;The Poetical Works of William Wordsworth;(Edited by William Knight);November 23, 2003
10220;Daddy Takes Us Skating;Howard R. Garis;November 23, 2003 
10221;Purple Springs;Nellie L. McClung;November 23, 2003 
10222;The Pilgrims of New England;Mrs. J. B. Webb;November 23, 2003
10224;Our Little Alaskan Cousin;Mary F. Nixon-Roulet;August 1, 2013
10225;Their Crimes;Various;November 24, 2003
10226;Beautiful Joe;by Marshall Saunders;November 24, 2003
10234;Old Creole Days;George Washington Cable;November 24, 2003
10251;Town Geology;Charles Kingsley;November 24, 2003 
10266;The Glands Regulating Personality;Louis Berman, M.D.;November 25, 2003
10267;The Outdoor Chums;Captain Quincy Allen;November 25, 2003
10268;Patty at Home;Carolyn Wells;November 25, 2003
10274;Sermons on Evil-Speaking;Isaac Barrow;November 25, 2003 
10289;Le Chat du Neptune;Ernest D'Hervilly;November 25, 2003
10290;Confession de Minuit;Georges Duhamel;November 25, 2003
10291;In The Fourth Year;H.G. Wells;November 26, 2003
10292;Punchinello, Vol. 2, No. 36, December 3, 1870;Various;November 26, 2003
10293;Relacion historica de los sucesos de la rebelion de Jose Gabriel;Anonymous;November 26, 2003
10294;Verse and Prose for Beginners in Reading;Horace Elisha Scudder, editor;November 26, 2003
10310;Audio: After Dinner Toast at Little Menlo;Arthur Sullivan;November 26, 2003 
10314;Sonnets;Michael Angelo Buonarroti & Tommaso Campanella;November 26, 2003
10315;Persian Literature, Volume 1,Comprising The Shah Nameh, The;Anonymous;November 26, 2003 
